ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,displayName,PriceNumerator,PriceDenominator,FullDescription
NSECO,122585,2,WTICRUDE,WTICRUDE24FEB4800PE,OPTFUT,WTICRUDE-OPTFUT,4404500122585,49.8,0.1,101,0.1,1,100,4100100000011,,2024-02-14T14:30:00,4800,4,WTICRUDE 14FEB2024 PE 4800,1,1,WTICRUDE24FEB4800PE
NSECO,122017,2,GOLD,GOLD24JUL64400CE,OPTFUT,GOLD-OPTFUT,4420700122017,8436,1550,11,0.5,1,100,4100100000001,,2024-07-25T14:30:00,64400,3,GOLD 25JUL2024 CE 64400,1,1,GOLD24JUL64400CE
NSECO,123411,2,GOLD,GOLD24MAY56400CE,OPTFUT,GOLD-OPTFUT,4414800123411,15852.5,4881.5,11,0.5,1,100,4100100000001,,2024-05-27T14:30:00,56400,3,GOLD 27MAY2024 CE 56400,1,1,GOLD24MAY56400CE
NSECO,121925,2,ZINC,ZINC24JAN202.5CE,OPTFUT,ZINC-OPTFUT,4401900121925,55.37,13.15,21,0.01,1,5000,4100100000027,,2024-01-19T14:30:00,202.5,3,ZINC 19JAN2024 CE 202.5,1,1,ZINC24JAN202.5CE
NSECO,123937,2,ZINC,ZINC24MAR242.5CE,OPTFUT,ZINC-OPTFUT,4407900123937,16.85,0.01,21,0.01,1,5000,4100100000027,,2024-03-19T14:30:00,242.5,3,ZINC 19MAR2024 CE 242.5,1,1,ZINC24MAR242.5CE
NSECO,125204,2,GOLD,GOLD24NOV63800PE,OPTFUT,GOLD-OPTFUT,4433100125204,2312.5,0.5,11,0.5,1,100,4100100000001,,2024-11-26T14:30:00,63800,4,GOLD 26NOV2024 PE 63800,1,1,GOLD24NOV63800PE
NSECO,124067,2,SILVERM,SILVERM24FEB70750CE,OPTFUT,SILVERM-OPTFUT,4405100124067,10072,622,121,0.5,1,5,4100100000010,,2024-02-20T14:30:00,70750,3,SILVERM 20FEB2024 CE 70750,1,1,SILVERM24FEB70750CE
NSECO,124656,2,COPPER,COPPER24FEB745PE,OPTFUT,COPPER-OPTFUT,4405100124656,45.16,0.01,71,0.01,1,2500,4100100000008,,2024-02-20T14:30:00,745,4,COPPER 20FEB2024 PE 745,1,1,COPPER24FEB745PE
NSECO,125123,2,GOLD,GOLD24NOV59800CE,OPTFUT,GOLD-OPTFUT,4433100125123,16590,6863,11,0.5,1,100,4100100000001,,2024-11-26T14:30:00,59800,3,GOLD 26NOV2024 CE 59800,1,1,GOLD24NOV59800CE
NSECO,123337,2,GOLD,GOLD24MAR57800CE,OPTFUT,GOLD-OPTFUT,4408600123337,12983.5,2065.5,11,0.5,1,100,4100100000001,,2024-03-26T14:30:00,57800,3,GOLD 26MAR2024 CE 57800,1,1,GOLD24MAR57800CE
NSECO,124133,2,SILVERM,SILVERM24APR66250CE,OPTFUT,SILVERM-OPTFUT,4411000124133,16670.5,5571.5,121,0.5,1,5,4100100000010,,2024-04-19T14:30:00,66250,3,SILVERM 19APR2024 CE 66250,1,1,SILVERM24APR66250CE
NSECO,124561,2,GOLD,GOLD24JAN63600CE,OPTFUT,GOLD-OPTFUT,4402400124561,3574,0.5,11,0.5,1,100,4100100000001,,2024-01-24T14:30:00,63600,3,GOLD 24JAN2024 CE 63600,1,1,GOLD24JAN63600CE
NSECO,123067,2,COPPER,COPPER24JAN685CE,OPTFUT,COPPER-OPTFUT,4401900123067,123.2,0.01,71,0.01,1,2500,4100100000008,,2024-01-19T14:30:00,685,3,COPPER 19JAN2024 CE 685,1,1,COPPER24JAN685CE
NSECO,124587,2,GOLD,GOLD24MAY65500CE,OPTFUT,GOLD-OPTFUT,4414800124587,5596.5,175.5,11,0.5,1,100,4100100000001,,2024-05-27T14:30:00,65500,3,GOLD 27MAY2024 CE 65500,1,1,GOLD24MAY65500CE
NSECO,122015,2,GOLD,GOLD24JUL64300CE,OPTFUT,GOLD-OPTFUT,4420700122015,8543,1585,11,0.5,1,100,4100100000001,,2024-07-25T14:30:00,64300,3,GOLD 25JUL2024 CE 64300,1,1,GOLD24JUL64300CE
NSECO,123702,2,SILVERM,SILVERM24APR82000PE,OPTFUT,SILVERM-OPTFUT,4411000123702,11898.5,2410.5,121,0.5,1,5,4100100000010,,2024-04-19T14:30:00,82000,4,SILVERM 19APR2024 PE 82000,1,1,SILVERM24APR82000PE
NSECO,122543,2,NATURALGAS,NATURALGAS24JAN205CE,OPTFUT,NATURALGAS-OPTFUT,4402300122543,26.1,3.9,49,0.05,1,1250,4100100000014,,2024-01-23T14:30:00,205,3,NATURALGAS 23JAN2024 CE 205,1,1,NATURALGAS24JAN205CE
NSECO,123782,2,SILVERM,SILVERM24NOV78750PE,OPTFUT,SILVERM-OPTFUT,4432500123782,8058.5,1965.5,121,0.5,1,5,4100100000010,,2024-11-20T14:30:00,78750,4,SILVERM 20NOV2024 PE 78750,1,1,SILVERM24NOV78750PE
NSECO,125110,2,SILVERM,SILVERM24NOV69000PE,OPTFUT,SILVERM-OPTFUT,4432500125110,3602,237,121,0.5,1,5,4100100000010,,2024-11-20T14:30:00,69000,4,SILVERM 20NOV2024 PE 69000,1,1,SILVERM24NOV69000PE
NSECO,121815,2,SILVER,SILVER24FEB68500PE,OPTBLN,SILVER-OPTBLN,4405800121815,2052,0.5,21,0.5,1,30,4100100000003,,2024-02-27T14:30:00,68500,4,SILVER 27FEB2024 PE 68500,1,1,SILVER24FEB68500PE
